Software Configuration,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Customer Requirements Document,,,,,
Azure XIO Storage Gen6.2,,,,,
,,,,,
Group,Item,Model,PN/MPN,FW/OS Version,File or Notes
Storage Blade,MB BIOS,C2010,,C2010.BS.3F42.GN1,
,BSL BIOS,C2010,,C2010.BS.3F42.AF1,
,BMC,C2010,,C2010.BC.0454.00,
,TPM,C2010,,7.63.3353.0,
,CPLD,C2010,,V14,20171013_MTO_CPLD_V14.7z
,NVMe SSD,SK Hynix PE4010 ,HFS960GD0TEG-6410A,80230E00,80230E00.bin
,HDD SATA,Seagate 12 TB,ST12000NM0538 - 2K2101-401,CN02,Seagate_ExosX14_MobulaBP_CN02_SATA_CMR_HDD-a.LOD
,,Seagate 12TB,ST12000NM0538 - 2K2101-402,CN02,
,Memory,Hynix 32GB,HMA84GR7CJR4N-VK,,
,,Samsung 32GB,M393A4K40CB2-CTD,,
,FPGA,Longs Peak,,1804_4.4.2_LP,
,Mellanox NIC card - FW Rev,CX4 on LP,,14.23.1020,fw-ConnectX4Lx-rel-14_23_1020-Microsoft_Longs_Peak_50G_4x12_89-UEFI-14.16.17-FlexBoot-3.5.504.bin
,Mellanox NIC card - uEFI Rev,,,14.16.0017,From above
,Mellanox NIC card - PXE Rev,,,3.5.0504,From above
,Boot,P2010 - Flextronics,MIS-S-1020ADE00-401/M1042985-002,0004.0100,FPS-213-D0000293-101_MIS-S-1020ADE01_Bootloader_CS89A8_V0004.0100
,ImageA,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionA_CSEA56_V010B.C643.hex
,ImageB,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionB_CS1054_V010B.C643.hex
,PSU,,700-014292-0100/M1034962-003,3X5N4B2J,ARTN_PSU_10-003_0202_3X5N4B2J_BBU_Allowable Substitute
Utility Blade,MB BIOS,C2010,,C2010.BS.3F42.GN1,
,BSL BIOS,C2010,,C2010.BS.3F42.AC1,
,BMC,C2010,,C2010.BC.0454.00,
,TPM,C2010,,7.63.3353.0,
,CPLD,C2010,,V14,20171013_MTO_CPLD_V14.7z
,NVMe SSD,SK Hynix PE4010 ,HFS960GD0TEG-6410A,80230E00,80230E00.bin
,HDD SATA,Seagate 12 TB,ST12000NM0538 - 2K2101-401,CN02,Seagate_ExosX14_MobulaBP_CN02_SATA_CMR_HDD-a.LOD
,,Seagate 12TB,ST12000NM0538 - 2K2101-402,CN02,
,Memory,Hynix 32GB,HMA84GR7CJR4N-VK,,
,,Samsung 32GB,M393A4K40CB2-CTD,,
,FPGA,Longs Peak,,1804_4.4.2_LP,
,Mellanox NIC card - FW Rev,CX4 on LP,,14.23.1020,fw-ConnectX4Lx-rel-14_23_1020-Microsoft_Longs_Peak_50G_4x12_89-UEFI-14.16.17-FlexBoot-3.5.504.bin
,Mellanox NIC card - uEFI Rev,,,14.16.0017,From above
,Mellanox NIC card - PXE Rev,,,3.5.0504,From above
,Boot,P2010 - Flextronics,MIS-S-1020ADE00-401/M1042985-002,0004.0100,FPS-213-D0000293-101_MIS-S-1020ADE01_Bootloader_CS89A8_V0004.0100
,ImageA,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionA_CSEA56_V010B.C643.hex
,ImageB,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionB_CS1054_V010B.C643.hex
,PSU,,700-014292-0100/M1034962-003,3X5N4B2J,ARTN_PSU_10-003_0202_3X5N4B2J_BBU_Allowable Substitute
JBOF/F2010,BMC,F2010,,V04.04.00,
,Switch 1 : PCIe FW,F2010,,0x010B0088,
,Switch 1 : Config Version,F2010,,0x00000011,
,Switch 2 : PCIe FW,F2010,,0x010B0088,
,Switch 2 : Config Version,F2010,,0x00000011,
,Bootloader FW,F2010,,0x010A0E73,
,Cerberus (PV built),F2010,,1.0.1.1,
,SSD,Intel EDSFF 16TB,D5-P4326 / M1092624-001,8DVMD34,
,PSU Boot,P2010 - Flextronics,MIS-S-1020ADE00-401/M1042985-002,0004.0100,FPS-213-D0000293-101_MIS-S-1020ADE01_Bootloader_CS89A8_V0004.0100
,PSU ImageA,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionA_CSEA56_V010B.C643.hex
,PSU ImageB,,,010B.C643,FPS-213-D0000293-101_MIS-S-1020ADE01_RegionB_CS1054_V010B.C643.hex
,PSU,P2010 - Artesyn,700-014292-0100/M1034962-003,3X5N4B2J,ARTN_PSU_10-003_0202_3X5N4B2J_BBU_Allowable Substitute
Rack,TOR Switch OS,,,Ship as is,
,Rack Manager,M2010,,1.1.16.41,
Windows Drivers,,,,,
,Intel Chipset OS Driver,C2010,,10.1.2.85,
,Mellanox NIC OS Driver,Longs Peak,,2.0.19830,MLNX_WinOF2-2_0_50000_All_x64.exe
