,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,Section 3 - Software Configuration,,,,,
1,,,,,,,
2,,3.1) System Information,,,,,3.3) Customized BMC Settings
3,,Group,Item,Recipe,Notes / Description,,
4,,Server Software(MB),BMC,Utility server - C1545.BC.0418.00,,,
5,,,,Compute server - C1545.BC.0717.00,,,
6,,,MB BIOS,Utility server - C1545.BS.0420.002,,,
7,,,,Compute server - C1545.BS.0614.002,,,
8,,,BSL BIOS,Utility server - C1545.BS.0420.002,,,
9,,,,Compute server - C1545.BS.0614.002,,,
10,,,CPLD,AC,,,
11,,,TPM,v5.62,,,
12,,CM,CMC_BIOS,M1031.BS.3A07,,,
13,,,CM_Package,Chassis Manager Image Version - Service v.2.9.0.6 - OS v.3.3 - Azure,,,
14,,,CM Image file,CM_V2.9.0.6_MTF_SSL_3.3.wim,,,
15,,,TPM,V5.62,,,
16,,,CMC_FW_Windows,1.01,,,
17,,,CPLD 0,Target_Ver08.txt ,,,
18,,,CPLD 1,CPLD1_02000006.jam ,,,
19,,,CPLD 2,CPLD2_03000004.jam  ,,,
20,,,Intel Avoton Embedded I354  EEPROM,108,,,
21,,SATA (960GB),Samsung,MZ7LM960HMJP-000MV  F/W: GXT51M3Q,PM863 - Utility & Compute Servers,,
22,,,Micron 5200 Pro,MTFDDAK960TDD-1AT1ZABMB  F/W: D1RL004,5200 Pro - Utility & Compute Servers - Allowable substitute,,
23,,,Samsung,"MZ7LH960HAJR-00AMV / MZ7LH960HAJR-00MV
FW: HXT70M3Q",Allowable Sub,,
24,,M.2  (960GB),Samsung,MZ1LW960HMJP-000MV  F/W: CXV85M1Q,PM963 - Utility & Compute Servers,,
25,,,Hynix,HFS960GD0FEG-A430A  F/W: 80030G00,PE6010 - Utility & Compute Servers - Allowable substitute,,
26,,,Samsung,MZ1LW960HMJP-000MR  F/W: CXV85M1Q,PM963 - Utility & Compute Servers - Allowable substitute,,
27,,Memory,Samsung,M393A4K40BB1-CRC,32GB DDR4 - Utility & Compute Servers,,
28,,,Samsung,M393A4K40CB2-CTD,32GB DDR4 - Utility & Compute Servers - Allowable substitute,,
29,,40G Mellanox NIC card,FW Rev,2.41.7004,,,
30,,,PXE Rev,3.4.0662,,,
31,,,uEFI Rev,14.8.0046,,,3.4) Customized RAID Settings
32,,Storey Peak FPGA,Storey Peak FPGA,Package: 1812_4.2.1_PP_SP ,,,
33,,GPU - nVidia V100,GPU0, 88.00.4F.00.04 ,,,
34,,,PLX 8747 (Riser Crads),V53,,,
35,,,PLX 8732 (Jet Pack),V62,,,
36,,PSU,PSU,00.02.01,,,
37,,Rack level,TOR OS version*,Ship as is,,,
38,,,IB OS/FW Version,"3.5.1006,  FW 9.3.7240",Infiniband Switch Model 6035,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,3.5) Hard Requirements and Other Deliverables:
47,,,,,,,"(i.e. Shared NIC, KVM over IP, specific cabling. special tests, OS install, burn in, etc)"
