Location,Part Numbers,Physical Count 7/22/212
0,EP2-KB960,0
0,EP3-KW960,0
0,EPX-KW960,0
0,MTA36ASF8G72PZ-2G6E1,0
0,MZ7LM960HCHP-000MV,0
0,SSDPEL1C375GA,0
CAGE-F1,0TS2126,200
CAGE-R10-S1-L1,0TS2231,298
CAGE-R10-S1-L2,0TS2232,100
CAGE-R10-S1-L3,0TS2381,60
CAGE-R10-S2-L1,MZ7LH960HAJR-000MV,62
CAGE-R10-S2-L1,MZ7WD960HMHP-00003,0
CAGE-R10-S2-L2,MZ7LM960HMJP-000MV,5
CAGE-R10-S2-L3,MZ7LH960HAJR-00AMV,0
CAGE-R10-S3-L1,MTFDDAK960TDD,47
CAGE-R10-S3-L2,MTFDDAK960TCB,0
CAGE-R10-S3-L3,MTFDDAK960TCC,0
CAGE-R10-S3-L4,MZ7L3960HCJR-00AMV,50
CAGE-R10-S4-L1,HFS960G32FEH-7A10A,0
CAGE-R10-S4-L2,HFS960G32MFD-3410A,0
CAGE-R10-S4-L3,HFS960G32MED-3410A,45
CAGE-R1-S1-L1,HFS960GDE0X098N,24
CAGE-R1-S1-L2,HFS1T9GDE0X098N,76
CAGE-R1-S1-L3,HFS3T8GDE0X098N,100
CAGE-R1-S1-L4,EMPTY,0
CAGE-R1-S2-L1,EMPTY,0
CAGE-R1-S2-L2,EMPTY,0
CAGE-R1-S2-L3,HFS3T8GEEWX091N,75
CAGE-R1-S2-L4,EMPTY,0
CAGE-R1-S3-L1,HFS1T9GD0FEH-A430A,56
CAGE-R1-S3-L2,HFS960GD0FEG-A430A,89
CAGE-R1-S3-L3,HFS1T9GD0FEH-6410A,0
CAGE-R1-S3-L4,HFS960GD0TEG-6410A,456
CAGE-R1-S4-L1,HFS3T8GD0FEH-A430A,97
CAGE-R1-S4-L2,HFS3T8GD0FEI-A430A,267
CAGE-R1-S4-L3,HFS1T9GD0FEI-A430A,73
CAGE-R1-S4-L4,HFS960GD0FEI-A430A,344
CAGE-R2-S1-L1,MZ1LV960HCJH-000MU,0
CAGE-R2-S1-L2,MZ1LB1T9HALS-00AMV,0
CAGE-R2-S1-L3,MZ1LB960HAJQ-00AMV,609
CAGE-R2-S1-L4,MZ1LB3T8HMLA-000MV,99
CAGE-R2-S2-L1,MZ1LB1T9HALS-000MV,114
CAGE-R2-S2-L2,MZ1LB960HAJQ-000MV,1038
CAGE-R2-S2-L3,MZ1LW1T9HMLS-000MV,0
CAGE-R2-S2-L4,MZ1LW960HMJP-000MV,267
CAGE-R2-S3-L1,MZ1L21T9HCLS-00AMV,180
CAGE-R2-S3-L2,MZ1L23T8HBLA-00AMV,58
CAGE-R2-S3-L3,MZ1LB960HBJR-00AMV,109
CAGE-R2-S3-L4,MZ1LB3T8HALA-00AMV,85
CAGE-R2-S3-L5,MZ1LB1T9HBLS-00AMV,106
CAGE-R2-S4-L1,MZ1L2960HCJR-00AMV,673
CAGE-R2-S4-L2,KXD5DLN13T84,153
CAGE-R2-S4-L3,AD2-KW960,0
CAGE-R2-S4-L4,AD2-KW960,0
CAGE-R3-S1-L1,HMA84GR7AFR4N-VK,0
CAGE-R3-S1-L2,HMA42GR7AFR4N-TF,0
CAGE-R3-S1-L3,HMA84GR7MFR4N-UH,0
