Date, Destination, Part Number, Count
4/22/21,Cage,M393A4K40BB1-CRC, 66
4/22/21,Cage,M393A2K43BB1-CTD, 25 
4/22/21,Cage,MTA36ASF2G72PZ-2G6E1, 354 
4/22/21,Cage,HMAA4GR7AJR4N-XN, 272 
4/23/21,Cage,MZ7LH960HAJR-000MV, 11 
4/23/21,Cage,ST10000NM0016,10
4/23/21,Cage,MG06ACA10TE,2
4/23/21,Cage,MG04ACA400N,1
4/23/21,Cage,MZ1LB960HAJQ-000MV,24
4/23/21,Cage,MZ1LW960HMJP-000MV,52
4/23/21,Cage,MTFDDAK960TDD-1AT1ZABMA,1
4/23/21,Cage,HMA84GR7JJR4N-VK,8
4/23/21,Cage,MTA36ASF4G72PZ-2G6E1,12
4/26/21,Pipe,M393A4K40DB2-CVF, 36 
4/26/21,Pipe,HFS960GD0FEG-A430A, 6 
4/26/21,Pipe,HMA84GR7DJR4N-WM, 144 
4/26/21,Pipe,MZ1LB3T8HALA-00AMV, 24 
4/26/21,Cage,HMAA4GR7AJR4N-WM, 144 
4/26/21,Cage,MZ1LB3T8HMLA-000MV, 24 
4/26/21,Cage,MTA36ASF4G72PZ-3G2R1, 90 
4/26/21,Cage,MZ1LB960HAJQ-00AMV, 6 
4/26/21,Cage,HMAA84GR7AJR4N-WM, 18 
4/26/21,Pipe,MZ1LB960HBJR-00AMV, 6 
4/26/21,Pipe,HMA84GR7CJR4N-WM, 18 
4/26/21,Pipe,HMAA8GR7AJR4N-WM, 12 
4/26/21,Cage,MTA18ASF4G72PZ-3G2E1, 12 
4/27/21,Customer,WUH721414ALN600, 40 
4/27/21,Customer,ST14000NM000G, 40 
4/28/21,Customer,HMAA4GR7AJR4N-WM, 8 
4/28/21,Customer,HFS3T8GD0FEI-A430A, 16 
4/28/21,Customer,ST14000NM0001 , 24 
4/28/21,Customer,HMAA8GR7AJR4N-WM, 16 
4/28/21,Cage,HFS960G32MED-3410A, 3 
4/28/21,Cage,0TS2231, 12 
4/28/21,Cage,MTA36ASF2G72PZ-2G6F1, 24 
4/28/21,Cage,MTA36ASF2G72PZ-2G6E1, 12 
5/3/21,Pipe,HMA84GR7DJR4N-WM, 60 
5/3/21,Pipe,WUH721414ALN600, 32 
5/3/21,Cage,NT32GA72D4NBX3P-IX, 60 
5/3/21,Cage,HUH721212ALN600, 32 
5/3/21,Pipe,HFS960GD0FEI-A430A, 2 
5/3/21,Pipe,MZ1LB960HBJR-00AMV, 40 
5/3/21,Cage,MZ1LB960HAJQ-00AMV, 36 
5/3/21,Cage,HFS960GD0FEI-A430A, 4 
5/3/21,Cage,MTA18ASF2G72PZ-2G6J1, 64 
5/3/21,Cage,M393A4K40DB2-CVF, 80 
5/3/21,Cage,MZ1LB960HAJQ-000MV, 56 
5/3/21,Pipe,MTA18ASF2G72PZ-2G9E1, 64 
5/3/21,Pipe,MTA18ASF4G72PZ-2G9E1, 16 
5/3/21,Pipe,HMA84GR7CJR4N-VK, 64 
5/3/21,Pipe,MZ1LB960HBJR-00AMV, 56 
